,tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,accountId
0,CHALLENGER,2je6pbrCAXwUa0ZAak_Ua71IhP-Cb-EQT14wq4KaFpcaL3w,VX REVERSE6,748,409,338,False,False,False,True,Qfiv008XrYljGBrF_nC9UMyb6qEN7R-VDDiQtcq_DEzrx0A
1,CHALLENGER,FOuFQnnCDVTpZbkiyuVvOeVR-nw3ahiq5P7oFpvb7tpQnPNO8cUNkdHf0Q,Grey Tulip,752,92,61,False,False,False,False,K4RFYdy-tcYNt6fwE_WY2AuvU9k909rNG-NqM_h2UJrxQ5y4mZezw68u
2,CHALLENGER,omvy7PwUl7bTUh2CvZRUzzcs4AubqPcBxIRP8UHxV-i4QWM,Chase,612,167,128,False,False,True,False,yl_8KSsY1MrRjhV_9to5wPVUEEtstsgAIN61pnQLDhRY6g
3,CHALLENGER,zPZmO0-Nl4VKJpnERtbtKgmgtjCy50z_yTfSgs0KEZA0IqtVA1lrrZKlpQ,quantumfan,640,220,208,True,False,False,False,Fc3zh1jfJukEx7BqOMkhpu-q7kmhsX0mpx6VilHdttZeyGfVt0quyYdo
4,CHALLENGER,DtDJrV6zfIoRzICDNF543Z6dC2dK3c7z6UQQXXEH-RE-rKk,5fire,849,148,134,True,False,False,False,gTzJPVWwxropWxtofKtvumkWFk6FmBYABUPc6rUsv_nwTA
5,CHALLENGER,uovS2QthJ-YeklCoWg7NsMlfyUcFDNOdwUcOWdwqvo261xiY,Scoooped3,661,133,104,False,False,False,False,rBcjCNd-qQh9QPGNiMq4XTUNnFY84P5KX9Pj8r2RilLlp3wPomJ3bd6F
6,CHALLENGER,Z2sG-OnH6Ntp83uauea9jGuwGSfloU2RC2iVoZXYb-gs-eM,crimsonteal,1406,289,219,True,False,False,False,0uGJlEt_dEeT4uRUG69a4Wyy5p5l0U8zcX7OKaYdnP2BetE
7,CHALLENGER,XJQ0rcCQHGsIeBAsC40zRFK07Ep9czFk_-xsipM87bz8xnAZ,Clam,862,232,198,True,False,False,True,hDkwXjUjdJNu1KG0CWKG8oYasjDofq9JwTFafvXWwGQFkOY5tUh7ENAi
8,CHALLENGER,Yi1Y9iig6Ny-_hhdFcjjoEi4yWHaO8NFHcnqDWg1XSsAkyJa,Bejjj,771,151,121,False,False,False,False,DLXhLXkL2ftQGfcPtFhBHQMdWAhsuPaPdozz8Q_2uFJpVH3mGWrk-A0a
9,CHALLENGER,Kbx25ecpvEApkOionU7XB5dv8GxBp2DCiXsqPx_32AJLGRA,I Missed My Q,707,319,268,False,False,True,False,gLsGQ2G35qVxwfiCObEejcn4n1dBaDmmv5KkeqnW8lht2A
